#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC07518.JPG	35.9861206875	139.0986637080	421.4629516602	
DSC07519.JPG	35.9858528515	139.0991330197	421.2184448242	
DSC07520.JPG	35.9856574803	139.0996353256	421.5455017090	
DSC07521.JPG	35.9853923566	139.1000611823	420.5517578125	
DSC07522.JPG	35.9851653452	139.1005544494	419.0871582031	
DSC07523.JPG	35.9848999751	139.1010284697	418.8731994629	
DSC07524.JPG	35.9846729873	139.1015270741	418.8995056152	
DSC07525.JPG	35.9844010593	139.1020015071	417.7651367188	
DSC07526.JPG	35.9841396766	139.1024816681	417.8996582031	
DSC07527.JPG	35.9839261836	139.1029510039	419.1626586914	
DSC07528.JPG	35.9836693031	139.1034621038	421.2698974609	
DSC07529.JPG	35.9833952358	139.1038960874	420.4794006348	
DSC07530.JPG	35.9831790563	139.1044012082	418.6403503418	
DSC07531.JPG	35.9829462914	139.1048877465	419.9317321777	
DSC07532.JPG	35.9826652624	139.1053792004	419.6798706055	
DSC07533.JPG	35.9824415936	139.1058680502	419.8095092773	
DSC07534.JPG	35.9821806359	139.1063977812	419.7415466309	
DSC07535.JPG	35.9818864226	139.1069095733	420.1328125000	
DSC07536.JPG	35.9816285461	139.1074130865	420.3317260742	
DSC07537.JPG	35.9813917280	139.1078597080	420.8218994141	
DSC07538.JPG	35.9811285230	139.1083646342	419.6623229980	
DSC07539.JPG	35.9809231859	139.1088452529	418.7876281738	
DSC07540.JPG	35.9806508143	139.1093307628	417.8941650391	
DSC07541.JPG	35.9803980156	139.1098228093	417.5762023926	
DSC07542.JPG	35.9801332764	139.1103273795	418.1335144043	
DSC07543.JPG	35.9798873452	139.1108287062	418.5241088867	
DSC07544.JPG	35.9796256907	139.1112844142	419.0592956543	
DSC07545.JPG	35.9794178175	139.1117898756	416.7823486328	
DSC07546.JPG	35.9800021653	139.1118389159	418.8284912109	
DSC07547.JPG	35.9802288371	139.1113401930	419.4535522461	
DSC07548.JPG	35.9804421653	139.1109536796	419.2764892578	
DSC07549.JPG	35.9806694142	139.1105125840	418.3343200684	
DSC07550.JPG	35.9809059850	139.1100457357	416.9991455078	
DSC07551.JPG	35.9811463859	139.1095903995	417.9234008789	
DSC07552.JPG	35.9813818522	139.1091511451	417.7783813477	
DSC07553.JPG	35.9816064221	139.1086695815	417.0134582520	
DSC07554.JPG	35.9818607402	139.1081996364	419.3113098145	
DSC07555.JPG	35.9821171978	139.1077571106	421.6489257812	
